title,speaker,speech,POLARITY,SENSITIVITY#enthusiasm,INTROSPECTION,INTROSPECTION#ecstasy,INTROSPECTION#rage,ATTITUDE#delight,INTROSPECTION#joy,TEMPER,INTROSPECTION#terror,SENSITIVITY,INTROSPECTION#contentment,INTROSPECTION#loathing,INTROSPECTION#dislike,ATTITUDE,TEMPER#serenity,INTROSPECTION#fear,SENSITIVITY#anger,SENSITIVITY#loathing,ATTITUDE#serenity,TEMPER#bliss,ATTITUDE#pleasantness,ATTITUDE#acceptance,ATTITUDE#loathing,INTROSPECTION#anxiety,SENSITIVITY#responsiveness,INTROSPECTION#disgust,ATTITUDE#rage,TEMPER#terror,TEMPER#fear,SENSITIVITY#sadness,SENSITIVITY#eagerness,SENSITIVITY#annoyance,TEMPER#calmness,SENSITIVITY#anxiety,SENSITIVITY#dislike,INTROSPECTION#sadness,SENSITIVITY#grief,SENSITIVITY#acceptance,ATTITUDE#anger
m39,GRETKOV,Bourne comes here? Why?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,He left yesterday on the night train. He's probably just getting in now.  You'll have to hurry.,0.3056666666666667,0.917,0.0,0.878,-0.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,What?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,Save it for Bourne.,0.714,0.0,0.0,0.0,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,Go to the airport. Get a plane. I'll have a brass band waiting for you.,-0.046249999999999986,0.0,-0.863,0.878,0.0,0.0,0.659,0.0,0.0,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,What do you mean?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,Leaving was a business decision. We're both rich come enjoy it.,0.6269999999999999,0.871,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,One last push. One.,-0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,Neski was a roadblock. Without me there's no company no fortune. You owe me Uri. One last push.,-0.1506,0.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9125,0.0,-0.211,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,Anything else?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,She's done everything I wanted. She bit on Conklin so fast it was laughable. She even found his bogus Swiss account...,0.05199999999999999,0.0,0.0,0.954,0.0,0.978,0.0,0.0,0.0,0.0,0.0,-0.8665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,And the Landy woman?,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,No. The files are spotless. Whatever they find it's just going to make Conklin look worse.,-0.38425,0.0,0.0,0.953,0.0,0.0,0.0,0.0,0.0,-0.638,0.0,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,Will it track back to us?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,I'll say. You killed his goddam girlfriend instead. Now they're onto Neski. They're at the Brecker Hotel even as we speak.,-0.64175,0.0,0.0,0.0,0.0,0.0,0.0,-0.304,0.0,-0.873,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,-0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,GRETKOV,There was a mistake.,-0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,You told me Bourne was dead.,-0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,Well you're probably right. I guess that's all that hubris is.,-0.16033333333333333,0.0,0.0,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.503,0.0,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,PAMELA,No. You lost your way.,-0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,In the end honestly it's hubris. Simple hubris. You reach a point in this game when the only satisfaction left is to see how clever you are.,0.40066666666666667,0.917,0.0,0.9410000000000001,0.0,0.961,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0,-0.826,0.493,0.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,PAMELA,No good options left?,0.788,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,Had to be done.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,PAMELA,And Danny Zorn what was that?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m39,ABBOTT,Why not? It was just money.,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
